HS코드,기간,수출중량,수출금액,수입중량,수입금액,무역수지
8508111000,2023.08,                   2.5,                 122,                 625.3,"              21,327","             -21,205"
8508192000,2023.08,                   0.0,                   1,                  10.8,                 217,                -216
8515211010,2023.08,                   3.0,                 153,                 159.5,"               3,093","              -2,940"
8515219010,2023.08,                   2.7,"               1,214",                   0.0,                   1,"               1,214"
8515311010,2023.08,                   1.1,                 114,                  54.4,"               1,553","              -1,439"
8515319010,2023.08,                 158.6,"               2,583",                   2.1,                  70,"               2,514"
8424202010,2023.09,                   0.0,                   0,                   0.0,                   0,                   0
8427103000,2023.09,                   1.0,                  54,                  36.8,"               1,860","              -1,805"
8428701000,2023.09,                   0.0,                   0,                   3.9,                 128,                -128
8428702000,2023.09,                   8.8,                 468,                   5.4,                 570,                -102
8428709000,2023.09,                 131.3,"               2,719",                  86.2,"               2,732",                 -14
8479501000,2023.09,                  12.1,                 656,                   6.8,                 843,                -186
8479509000,2023.09,                 767.6,"              20,768",                 586.4,"              17,282","               3,486"
8479892010,2023.09,                 366.2,"              14,857",                  90.0,"               3,563","              11,294"
8479892090,2023.09,                  32.8,                 264,                   1.3,                  60,                 204
8508111000,2023.09,                   3.5,                 114,                 618.1,"              20,299","             -20,185"
8508192000,2023.09,                   0.0,                   1,                   6.9,                  99,                 -98
8515211010,2023.09,                  18.3,                 972,                  73.9,"               1,423",                -451
8515212010,2023.09,                   0.0,                   4,                   0.0,                   0,                   4
8515219010,2023.09,                   0.0,                   0,                   1.0,                  79,                 -79
8515311010,2023.09,                   0.0,                   0,                  48.7,"               1,705","              -1,705"
8515319010,2023.09,                   1.6,                 331,                   1.0,                  60,                 272
